Cliente;Descrição;CNPJ;ISIN;Qtd.;Valor Nominal;Rendimiento;Valor Bruto;IRRF;IOF;Valor Líquido;% s/Seg;% s/PL
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1025809,05;-;1025809,05;0,00;0,00;1025809,05;5,66029418815814E-6;3,008275655
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1025809,05;-;1025809,05;0,00;0,00;1025809,05;1,26654954455255E-5;3,008275655
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1026697,57;-;1026697,57;0,00;0,00;1026697,57;5,66519693744863E-6;2,997116957
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1026697,57;-;1026697,57;0,00;0,00;1026697,57;1,26764658556748E-5;2,997116957
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027403,96;-;1027403,96;0,00;0,00;1027403,96;5,66909471473142E-6;3,004064059
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027403,96;-;1027403,96;0,00;0,00;1027403,96;1,26851875367008E-5;3,004064059
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027454,58;-;1027454,58;0,00;0,00;1027454,58;5,66937402996246E-6;2,995678994
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027454,58;-;1027454,58;0,00;0,00;1027454,58;1,26858125335065E-5;2,995678994
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027511,56;-;1027511,56;0,00;0,00;1027511,56;5,66968843892858E-6;2,998152657
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027511,56;-;1027511,56;0,00;0,00;1027511,56;1,2686516056185E-5;2,998152657
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027763,67;-;1027763,67;0,00;0,00;1027763,67;5,67107955237974E-6;3,008747492
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1027763,67;-;1027763,67;0,00;0,00;1027763,67;1,26896288168462E-5;3,008747492
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1028066,06;-;1028066,06;0,00;0,00;1028066,06;5,67274810498176E-6;3,004583363
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1028066,06;-;1028066,06;0,00;0,00;1028066,06;1,26933623763891E-5;3,004583363
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1028905,66;-;1028905,66;0,00;0,00;1028905,66;5,67738091944209E-6;3,004906802
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1028905,66;-;1028905,66;0,00;0,00;1028905,66;1,27037287793527E-5;3,004906802
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029075,17;-;1029075,17;0,00;0,00;1029075,17;5,67831625576793E-6;3,000896265
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029075,17;-;1029075,17;0,00;0,00;1029075,17;1,27058216914137E-5;3,000896265
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029096,51;-;1029096,51;0,00;0,00;1029096,51;5,67843400738844E-6;3,000975961
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029096,51;-;1029096,51;0,00;0,00;1029096,51;1,27060851728801E-5;3,000975961
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029267,84;-;1029267,84;0,00;0,00;1029267,84;5,6793793862611E-6;2,999771325
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029267,84;-;1029267,84;0,00;0,00;1029267,84;1,27082005561814E-5;2,999771325
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029310,62;-;1029310,62;0,00;0,00;1029310,62;5,67961544129042E-6;3,002086586
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1029310,62;-;1029310,62;0,00;0,00;1029310,62;1,27087287537979E-5;3,002086586
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1030067,02;-;1030067,02;0,00;0,00;1030067,02;5,6837891678957E-6;3,001101056
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1030067,02;-;1030067,02;0,00;0,00;1030067,02;1,271806790006E-5;3,001101056
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031676,81;-;1031676,81;0,00;0,00;1031676,81;5,69267180056613E-6;3,00808096
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031676,81;-;1031676,81;0,00;0,00;1031676,81;1,27379437121454E-5;3,00808096
