Código;Cliente;Data;Entradas;Saída;Patrimônio;Qtde. Cotas;Cota;Aporte de Títulos;Retirada de Títulos;Dia;Mês;Ano;Total
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-03-02;0,00;0,00;17.720.510,38;10.781.846,68378020;1,64355058;0,00;0,00;0,0377%;0,0377%;2,2675%;64,3551%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-03-02;0,00;0,00;34.297.886,46;21.601.931,58082440;1,58772313;0,00;0,00;0,0543%;0,0543%;2,4606%;58,7723%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-03-02;0,00;0,00;72.749.936,58;49.481.431,69758450;1,47024720;0,00;0,00;-0,0157%;-0,0157%;15,9371%;47,0247%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-03-02;0,00;0,00;113.527.246,47;6.700.615,57229060;16,94280850;0,00;0,00;-0,1274%;-0,1274%;-0,6658%;69,4281%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-03-02;0,00;0,00;153.407.388,64;98.294.353,41383200;1,56069381;0,00;0,00;-0,2757%;-0,2757%;2,7738%;56,0694%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-03-02;0,00;0,00;196.273.139,80;118.349.389,21560600;1,65842123;0,00;0,00;-0,0167%;-0,0167%;2,4734%;65,8421%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-03-02;0,00;0,00;235.600.859,49;143.722.895,60785500;1,63927159;0,00;0,00;0,0442%;0,0442%;2,2867%;63,9272%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-03-02;0,00;0,00;285.621.090,00;171.388.981,19229300;1,66650789;0,00;0,00;-0,0182%;-0,0182%;3,2014%;66,6508%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-03-02;0,00;0,00;395.146.837,78;227.459.284,84187500;1,73722008;0,00;0,00;0,0532%;0,0532%;2,2765%;73,7220%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-03-02;0,00;0,00;577.974.390,40;344.556.811,69244500;1,67744293;0,00;0,00;-0,0122%;-0,0122%;3,1826%;67,7443%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-03-02;0,00;0,00;1.101.784.899,54;658.460.887,65200900;1,67327311;0,00;0,00;0,0378%;0,0378%;2,3055%;67,3273%
